----------
Document:,EXHIBIT 21
----------
Table Title:,Exhibit 21
"RL REGI MISSOURI, LLC",MO,
"RL REGI NORTH CAROLINA, LLC",NC,
"RL REGI SOUTH CAROLINA, LLC",SC,
"RL REGI TENNESSEE, LLC",TN,
"RL REGI VIRGINIA, LLC",VA,
"RL REGI-AL HP, LLC",AL,
"RL REGI-AL VRC, LLC",AL,
"RL REGI-FL CRC, LLC",FL,
"RL REGI-FL ESH, LLC",FL,
"RL REGI-FL FT. PIERCE, LLC",FL,
"RL REGI-FL GDL, LLC",FL,
"RL REGI-FL ITALIA, LLC",FL,
"RL REGI-FL MRED, LLC",FL,
"RL REGI-FL RDI, LLC",FL,
"RL REGI-FL SARASOTA, LLC",FL,
"RL REGI-FL TPL, LLC",FL,
"RL REGI-FL VARC, LLC",FL,


Table Title:,Exhibit 21_16
Company Name,State of Incorporation,DBAs
"RL REGI-GA DRAD, LLC",GA,
"RL REGI-GA HAY DB, LLC",GA,
"RL REGI-GA MHU, LLC",GA,
"RL REGI-GA MPD, LLC",GA,
"RL REGI-GA RLR, LLC",GA,
"RL REGI-MO GMB, LLC",MO,
"RL REGI-MO MOSCOW MILLS, LLC",MO,
"RL REGI-MS Double H, LLC",MO,
"RL REGI-MS OCEAN SPRINGS, LLC",MS,
"RL REGI-NC CIL, LLC",NC,
"RL REGI-NC LITTLE WING, LLC",NC,
"RL REGI-NC Mland, LLC",NC,
"RL REGI-NC MLD, LLC",NC,
"RL REGI-NC RALEIGH, LLC",NC,
"RL REGI-NC SUGARM, LLC",NC,
"RL REGI-NM, LLC",NM,
"RL REGI-SC CTL, LLC",SC,
"RL REGI-SC LAKE E, LLC",SC,
"RL REGI-SC TDG, LLC",SC,
"RL REGI-SC TIG, LLC",SC,
"RL REGI-TN OAK, LLC",TN,
"RL REGI-TN SEVIERVILLE, LLC",TN,
"RL RES 2009-1 Investments, LLC",DE,
"RMV, LLC",MD,
"Rocking Horse Minerals, LLC",CO,
"Rocking Horse Partners, LLC",CO,
"R-Ranch Development, LLC",FL,
"Runkle Canyon, LLC",DE,
"Rutenberg Homes of Texas, Inc.",TX,
"Rutenberg Homes, Inc. (Florida)",FL,
"Rye Hill Company, LLC",NY,
"Ryland Homes Nevada Holdings, LLC",DE,Lennar
"Ryland Homes Nevada, LLC",DE,Lennar
"Ryland Homes of California, Inc.",DE,Lennar
Ryland Homes of Florida Realty Corporation,FL,Lennar
"S. Florida Construction II, LLC",FL,
"S. Florida Construction III, LLC",FL,
"S. Florida Construction, LLC",FL,
"S.P.S. Affiliates, Inc.",CA,Lennar
"San Lucia, LLC",FL,
"San Simeon Lennar, LLC",FL,
"Santa Clarita 700, LLC",DE,
"Savannah Development, Ltd.",TX,


Table Title:,Exhibit 21_17
Company Name,State of Incorporation,DBAs
"Savell Gulley Development, LLC",TX,
"SC 521 Indian Land Reserve South, LLC",DE,
"SC 521 Indian Land Reserve, LLC",DE,
"Scarsdale, LTD.",TX,
"Schulz Ranch Developers, LLC",DE,
"Seminole/70th, LLC",FL,
Siena at Old Orchard L.L.C.,IL,
"Sierra Vista Communities, LLC",CA,
"Silver Springs Lennar, LLC",DE,
"South Development, LLC",FL,
"South Sutter, LLC",CA,
"Southbank Holding, LLC",FL,
"SP Miramar, LLC",FL,
"SP Talega, LLC",DE,
"Spanish Springs Development, LLC",NV,
"Spectrum Eastport, LLC",DE,
"SPIC CPCO, Inc.",DE,Lennar
"SPIC CPDB, Inc.",DE,Lennar
"SPIC CPRB, Inc.",DE,Lennar
"SPIC Del Sur, LLC",DE,Lennar
"SPIC Dublin, LLC",DE,Lennar
"SPIC Mesa, LLC",DE,Lennar
"SPIC NC Fremont, LLC",DE,Lennar
"SPIC Otay, LLC",DE,Lennar
"SPIC Springs, LLC",DE,Lennar
"SPM Affiliates, Inc.",DE,Lennar
"St. Charles Active Adult Community, LLC",MD,
"St. Charles Community, LLC",DE,
"Standard Pacific 1, Inc",DE,Lennar
Standard Pacific Investment Corp.,DE,Lennar
"Standard Pacific of Colorado, Inc.",DE,Lennar
Standard Pacific of Florida,FL,Lennar
"Standard Pacific of Florida GP, Inc.",DE,Lennar
"Standard Pacific of Las Vegas, Inc.",DE,Lennar
"Standard Pacific of Orange County, Inc.",DE,Lennar
"Standard Pacific of Tampa GP, Inc.",DE,Lennar
"Standard Pacific of Tampa, GP",DE,Lennar
"Standard Pacific of the Carolinas, LLC",DE,Lennar
"Standard Pacific of Tonner Hills, LLC",DE,Lennar
"Standard Pacific of Walnut Hills, Inc.",DE,Lennar
Stoney Corporation,FL,
"Stoney Holdings, LLC",FL,
"Stoneybrook Clubhouse, Inc.",FL,


Table Title:,Exhibit 21_18
Company Name,State of Incorporation,DBAs
Stoneybrook Joint Venture,FL,
Stoneybrook Joint Venture,FL,
"Storey Lake Club, LLC",FL,
"Storey Park Club, LLC",FL,
"Strategic Holdings, Inc.",NV,Lennar Communications Ventures
"Strategic Technologies, LLC",FL,"Strategic Cable Technologies - Texas, Inc."
Streetman Homes Corp.,DE,Lennar
Summerfield Venture L.L.C.,IL,
"Summerwood, LLC",MD,
"SunStreet Energy Group, LLC",DE,
"SunStreet Energy Master Tenant Holdings, LLC",DE,
"SunStreet Energy Tenant, LLC",DE,
"SunStreet Manager, LLC",DE,
"T2 Construction, LLC",DE,Lennar
"T3 Homes, LLC",DE,Lennar
"Talega Associates, LLC",DE,Lennar
"Talega Constructors, LLC",CA,Lennar
"Talega Village, LLC",DE,Lennar
"TCO QVI, LLC",DE,
"Temecula Valley, LLC",DE,
"Terra Division, LLC",MN,
"Terra/Winding Creek, LLC",TX,Lennar
The Baywinds Land Trust,FL,Baywinds Land Trust D/B/A Club Vineyards
"The Bridges at Rancho Santa Fe Sales Company, Inc.",CA,
"The Bridges Club at Rancho Santa Fe, Inc.",CA,
"The LNC Northeast Group, Inc.",DE,
"The Oasis Club at LEN-CG South, LLC",DE,
"The Preserve at Coconut Creek, LLC",FL,
The Ryland Corporation,CA,Lennar
"The Vistas Club at LEN-CG South, LLC",FL,
"TICD Hold Co., LLC",DE,
"TIH Hold Co., LLC",DE,
Titlezoom Company,FL,
"Tonner Hills SSP, LLC",DE,Lennar
"Treasure Island Holdings, LLC",DE,
"Treasure Island Member, LLC",DE,
"Treviso Holding, LLC",FL,
"Two Lakes Lennar, LLC",DE,
U.S. Home Corporation,DE,Lennar; Lennar Corporation
U.S. Home of Arizona Construction Co.,AZ,
"U.S. Home Realty, Inc.",TX,
"U.S. Insurors, Inc.",FL,
"U.S.H. Los Prados, Inc.",NV,
"U.S.H. Realty, Inc.",VA,


Table Title:,Exhibit 21_19
Company Name,State of Incorporation,DBAs
"UAMC Holding Company, LLC",DE,
"UB 2018-C14 MOA, LLC",DE,
"USH - Flag, LLC",FL,
USH Equity Corporation,NV,
"USH Leasing II, LLC",DE,
"USH Leasing, LLC",DE,
"USH LEE, LLC",FL,
"USH Woodbridge, Inc.",TX,
USH/SVA Star Valley LLC,AZ,
"UST Lennar HW Scala SF Joint Venture, a Delaware general partnership",DE,
"Valencia at Doral, LLC",FL,Valencia at Doral Club
Venetian Lennar LLC,FL,
"VII Crown Farm Investor, LLC",DE,
"Vineyard Land, LLC",DE,
"Vineyard Point 2009, LLC",CA,
"Vineyard Utility, LLC",MD,Lennar
Vista Las Flores Corp.,DE,Lennar
"Vista Palms Clubhouse, LLC",DE,
"Waterview at Hanover, LLC",NJ,
"WCI Communities Management, LLC",DE,
"WCI Communities, Inc.",DE,
"WCI Communities, LLC",DE,
"WCI Communities, Rivington, LLC",DE,
"WCI Realty, Inc.",FL,
"WCI Towers Northeast USA, Inc.",DE,
"WCI Westshore, LLC",DE,
"WCP, LLC",SC,
"West Chocolate Bayou Development, LLC",TX,
"West Lake Village, LLC",NJ,
"West Seattle Project X, LLC",DE,
West Van Buren L.L.C.,IL,
"Westchase, Inc.",NV,
"Westchase, Ltd.",TX,
"Westfield Homes USA, Inc.",DE,Lennar
"White Course Lennar, LLC",FL,
"Wild Plum JV, LLC",DE,Lennar
"Willow Springs Properties, L.L.C.",AZ,
"Willowbrook Investors, LLC",NJ,
"Winncrest Natomas, LLC",NV,
"WIP Lennar OHB, LLC",NJ,
"Woodbridge Multifamily Developer I, LLC",DE,
"Wright Farm, L.L.C.",VA,
"YLRichards4Acres 2015, LLC",CA,Lennar


----------
Document:,EXHIBIT 31.2
----------
Table Title:,CHIEF FINANCIAL OFFICER'S CERTIFICATION Exhibit 31.2
Line Item,Name: Diane Bessette
"Title: Vice President, Chief Financial Officer and Treasurer",


----------
Document:,EXHIBIT 32
----------
Table Title:,Officers' Section 1350 Certifications Exhibit 32
Line Item,Name: Richard Beckwitt
Title: Chief Executive Officer,
/S/    DIANE BESSETTE,
Name: Diane Bessette,
"Title: Vice President, Chief Financial Officer and Treasurer",


